trial_type,trial_index,time_elapsed,internal_node_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,stimulus,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,phase,deviceInfo,itemID,stimulus_type,correct_ans,list,content,sound1,sound2
pavlovia,0,5299,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preload,1,29862,0.0-1.0,TRUE,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,
survey-text,2,47136,0.0-2.0,,,,,,17240,"{""participant_name"":""Samanthah Ann"",""prolific_ID"":""67d0a404e7ea4ada87a0cd77""}",,,,,,,,,,,,,,,,,,,,,
html-button-response,3,53042,0.0-3.0-0.0,,,,,,5897,0,"
    <h1>
    Before starting the experiment, please adjust the volume.
    </h1>
    <p>
    Please press the ""Play"" button below and adjust the volume while checking until it reaches an appropriate level.
    </p>
    <audio id=""vol-test-stimulus"" src=""stimuli/word/FAS_E1M-LNTW-01-16.wav""></audio>
    <button id=""play-button"">Play</button>
    <p>
    You can play the audio as many times as you like until the volume suits your preference.
    Once you've adjusted the volume to a level that is the easiest to hear and most comfortable for you.
    Press the button below and enter what you heard on the next page.
    This is just to confirm that you can hear the audio clearly, so it's okay if you make a few mistakes.
    </p>
  ",,,,,,,,,,,,,,,,,,,,
survey-text,4,58395,0.0-3.0-1.0,,,,,,5325,"{""vol-word"":""Dance""}",,,,,,,,,,,,,,,,,,,,,
fullscreen,5,64360,0.0-4.0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,6,65361,0.0-5.0,,,,,,,,,1280,720,TRUE,chrome,133.0.0,FALSE,Windows 10,TRUE,60.7,TRUE,TRUE,,,,,,,,,
html-button-response,7,67368,0.0-6.0,,,,,,null,null,"
    <h1 style = ""font-size: 60px; width: 100%;"">English Pronunciation Perception Experiment</h1>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,8,76229,0.0-7.0,,,,,,8859,0,"
    <h1>
    Instructions: What will you do in this experiment?
    </h1>
    <p style=""width:100%"">
    In this experiment, two English audio clips will be played as a pair.

    The content of the audio will be displayed slightly earlier.

    While listening to the pair of audio clips and looking at the content,

    if the pair has different accents, press the <span style=""background-color: yellow;"">[ F ] key</span>, 

    if the pair has the same accent, press the <span style=""background-color: yellow;"">[ J ] key</span> 
    <u>as quickly and accurately as possible</u>

    This experiment will record the accuracy and speed of your judgments on whether the pronunciations are the same or different.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,9,98008,0.0-8.0,,,,,,21777,0,"
    <h1>
    Instructions: What is an accented pronunciation?
    </h1>
    <p>
    Your understanding of the following content is crucial to the results of this experiment, so please read it carefully.

    In this experiment, ""accent"" does not refer to the variations in pronunciation among native speakers. Instead, it refers to the ""foreign accent"" of speakers whose native language is different from English. Although native speakers have many regional pronunciation variations, this study focuses on the differences between native and non-native English speakers, as well as differences among non-native speakers whose native languages differ.

    Therefore, a ""pair of English pronunciations with different accents"" refers to:

    - A pair consisting of a native speaker and a non-native speaker, or
    - A pair of non-native speakers whose native languages are different (e.g., Speaker A whose native language is Language A and Speaker B whose native language is Language B).

    If you understand the above explanation, click the button below to proceed to the instructions on the experiment's procedure.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,10,101791,0.0-9.0,,,,,,3781,0,"
    <h1>
    Instructions: Explanation of the Experiment Procedure
    </h1>
    <p>
    The audio will always play immediately after the fixation point (+) is displayed, so please make sure to focus on the fixation point when it appears.

    This pronunciation perception experiment is expected to take approximately 50 minutes to complete.
    There will be one break point during the experiment.
    Feel free to take a break during this time (e.g., closing your eyes, taking deep breaths, etc.).

    To respond quickly, keep your fingers on the [ F ] and [ J ] keys at all times.
    To help you get familiar with the procedure, there are 12 practice questions prepared.
    When you are ready, click the button below to proceed to the practice session.
    </p>
    ",,,,,,,,,,,,intro,"{""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""screenResolution"":""1280x720"",""windowSize"":""1280x632""}",,,,,,,
html-keyboard-response,11,102801,0.0-10.0-0.0,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,12,103307,0.0-10.0-1.0,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>ball</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,13,103927,0.0-10.0-2.0,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-02.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,104435,0.0-10.0-3.0,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>ball</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,15,104959,0.0-10.0-4.0,,,,,,null,null,stimuli/FAS_E5M-WIPI-01-02.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,16,111563,0.0-10.0-5.0,,,,,,6602,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>ball</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,2,EE,j,WIPI,ball,stimuli/FAS_E1M-WIPI-01-02.wav,stimuli/FAS_E5M-WIPI-01-02.wav
html-keyboard-response,17,112572,0.0-10.0-0.1,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,18,113079,0.0-10.0-1.1,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>The tomatoes grew in his garden.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,19,115259,0.0-10.0-2.1,,,,,,null,null,stimuli/FAS_M6M-BKBR-00-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,20,115775,0.0-10.0-3.1,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The tomatoes grew in his garden.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,21,118179,0.0-10.0-4.1,,,,,,null,null,stimuli/FAS_M1M-BKBR-00-03.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,22,119003,0.0-10.0-5.1,,,,,,823,j,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The tomatoes grew in his garden.</strong>_ 
        </p>
    <p style=""width: 100%""> 
    Press <span style=""background-color: yellow;"">[ F ] key</span> if the accents are different. Press <span style=""background-color: yellow;"">[ J ] key</span> if the accents are the same.
    <u>Please press the key accordingly.</u>
    </p>",,,,,,,,,,,,practice,,9,MM,j,BKB,The tomatoes grew in his garden.,stimuli/FAS_M6M-BKBR-00-03.wav,stimuli/FAS_M1M-BKBR-00-03.wav
html-keyboard-response,23,120009,0.0-10.0-0.2,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,24,120526,0.0-10.0-1.2,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>The boy got into trouble.</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,25,122099,0.0-10.0-2.2,,,,,,null,null,stimuli/FAS_E5M-HINT-P1-01.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,26,122602,0.0-10.0-3.2,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>The boy got into trouble.</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
