trial_type,trial_index,time_elapsed,internal_node_id,success,timeout,failed_images,failed_audio,failed_video,rt,response,stimulus,width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,phase,deviceInfo,itemID,stimulus_type,correct_ans,list,content,sound1,sound2
pavlovia,0,1389,0.0-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
preload,1,25039,0.0-1.0,TRUE,FALSE,[],[],[],,,,,,,,,,,,,,,,,,,,,,,
survey-text,2,41275,0.0-2.0,,,,,,16177,"{""participant_name"":""678f0bb28ec3307e4f1afb78"",""prolific_ID"":""678f0bb28ec3307e4f1afb78""}",,,,,,,,,,,,,,,,,,,,,
html-button-response,3,67481,0.0-3.0-0.0,,,,,,26203,0,"
    <h1>
    Before starting the experiment, please adjust the volume.
    </h1>
    <p>
    Please press the ""Play"" button below and adjust the volume while checking until it reaches an appropriate level.
    </p>
    <audio id=""vol-test-stimulus"" src=""stimuli/word/FAS_E1M-LNTW-01-16.wav""></audio>
    <button id=""play-button"">Play</button>
    <p>
    You can play the audio as many times as you like until the volume suits your preference.
    Once you've adjusted the volume to a level that is the easiest to hear and most comfortable for you.
    Press the button below and enter what you heard on the next page.
    This is just to confirm that you can hear the audio clearly, so it's okay if you make a few mistakes.
    </p>
  ",,,,,,,,,,,,,,,,,,,,
survey-text,4,75538,0.0-3.0-1.0,,,,,,8045,"{""vol-word"":""dance""}",,,,,,,,,,,,,,,,,,,,,
fullscreen,5,141863,0.0-4.0,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
browser-check,6,142854,0.0-5.0,,,,,,,,,3072,1287,TRUE,chrome,136.0.0,FALSE,Windows 10,TRUE,60.74,FALSE,TRUE,,,,,,,,,
html-button-response,7,144864,0.0-6.0,,,,,,null,null,"
    <h1 style = ""font-size: 60px; width: 100%;"">English Pronunciation Perception Experiment</h1>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,8,178770,0.0-7.0,,,,,,33905,0,"
    <h1>
    Instructions: What will you do in this experiment?
    </h1>
    <p style=""width:100%"">
    In this experiment, two English audio clips will be played as a pair.

    The content of the audio will be displayed slightly earlier.

    While listening to the pair of audio clips and looking at the content,

    if the pair has different accents, press the <span style=""background-color: yellow;"">[ F ] key</span>, 

    if the pair has the same accent, press the <span style=""background-color: yellow;"">[ J ] key</span> 
    <u>as quickly and accurately as possible</u>

    This experiment will record the accuracy and speed of your judgments on whether the pronunciations are the same or different.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,9,198627,0.0-8.0,,,,,,19855,0,"
    <h1>
    Instructions: What is an accented pronunciation?
    </h1>
    <p>
    Your understanding of the following content is crucial to the results of this experiment, so please read it carefully.

    In this experiment, ""accent"" does not refer to the variations in pronunciation among native speakers. Instead, it refers to the ""foreign accent"" of speakers whose native language is different from English. Although native speakers have many regional pronunciation variations, this study focuses on the differences between native and non-native English speakers, as well as differences among non-native speakers whose native languages differ.

    Therefore, a ""pair of English pronunciations with different accents"" refers to:

    - A pair consisting of a native speaker and a non-native speaker, or
    - A pair of non-native speakers whose native languages are different (e.g., Speaker A whose native language is Language A and Speaker B whose native language is Language B).

    If you understand the above explanation, click the button below to proceed to the instructions on the experiment's procedure.
    </p>
    ",,,,,,,,,,,,,,,,,,,,
html-button-response,10,220342,0.0-9.0,,,,,,21714,0,"
    <h1>
    Instructions: Explanation of the Experiment Procedure
    </h1>
    <p>
    The audio will always play immediately after the fixation point (+) is displayed, so please make sure to focus on the fixation point when it appears.

    This pronunciation perception experiment is expected to take approximately 50 minutes to complete.
    There will be one break point during the experiment.
    Feel free to take a break during this time (e.g., closing your eyes, taking deep breaths, etc.).

    To respond quickly, keep your fingers on the [ F ] and [ J ] keys at all times.
    To help you get familiar with the procedure, there are 12 practice questions prepared.
    When you are ready, click the button below to proceed to the practice session.
    </p>
    ",,,,,,,,,,,,intro,"{""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""screenResolution"":""3072x1286"",""windowSize"":""693x1156""}",,,,,,,
html-keyboard-response,11,221354,0.0-10.0-0.0,,,,,,null,null,"<h1 style= ""font-size: 50px"">+
    </h1>",,,,,,,,,,,,,,,,,,,,
html-keyboard-response,12,221870,0.0-10.0-1.0,,,,,,null,null,"
            <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
            The content of this audio is _<strong>floor</strong>_ 
            </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,13,222674,0.0-10.0-2.0,,,,,,null,null,stimuli/FAS_E1M-WIPI-01-04.wav,,,,,,,,,,,,,,,,,,,,
html-keyboard-response,14,223182,0.0-10.0-3.0,,,,,,null,null,"
        <p style= ""white-space: nowrap;text-align: center; padding: 20px; background-color: lightgray;"">
        The content of this audio is _<strong>floor</strong>_ 
        </p>",,,,,,,,,,,,,,,,,,,,
audio-keyboard-response,15,224015,0.0-10.0-4.0,,,,,,null,null,stimuli/FAS_M6M-WIPI-01-04.wav,,,,,,,,,,,,,,,,,,,,
